########################################################################################################################################################################################################
#                           #                                                                                                                                                                          #
#                           #                                                                                                                                                                          #
#                           #                                                                                              #                                                                           #
#                           #                                                                                              #                                                                           #
#              E            #                                                                                              #                                                                           #
#                           #                                                                                              #                                                                           #
#                           #                                                                                              #                                                                           #
#                           #                                                                                              #                                                                           #
#                           #                                                                                              #                                                                           #
#                           #                                                                                              #                                                                           #
#                           #                                                                                              #                                                                           #
#                           #                                                                                              #                                                                           #
#                                                                                                                          #                                                                           #
#                                                                                                                          #                                                                           #
#                                                                                                                          #        E                                                                  #
#                                                                                                                          #                                                                           #
#                                                                                                                          #                                                                           #
#                                                                                                 ###############################################################                       ################
#                                                                                                                                                                                                      #
########################################                                                                                                                                                               #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
                                                                                              A


                                                              ###############################################################
S                                                                                                                                                                                                      ^




#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
#                                                                                                                                                                                                      #
################################################################                                                                                                   #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
#                                                                                                                                                                  #                                   #
########################################################################################################################################################################################################
